Census-based period fertility tables, birth orders 1 to 5+
Last modified: 25/09/2014
Code Year     x       w0x       m1x       q1x     l0x    b1x     L0x   Sb1x       w1x       m2x       q2x    l1x    b2x     L1x   Sb2x       w2x       m3x       q3x    l2x    b3x     L2x   Sb3x       w3x       m4x       q4x    l3x    b4x     L3x   Sb4x       w4x      m5px      q5px    l4x   b5px     L4x  Sb5px
AUT  2001    49   0.13268   0.00000   0.00000    2658      0    2658   7342   0.23124   0.00000   0.00000   2761      0    2761   4581   0.37392   0.00000   0.00000   3304      0    3304   1277   0.17072   0.00000   0.00000    979      0     979    298   0.09144   0.00022   0.00022    298      0     298    102
AUT  2001    50   0.12816   0.00016   0.00016    2658      0    2658   7342   0.23000   0.00009   0.00009   2761      0    2761   4581   0.37177   0.00000   0.00000   3304      0    3304   1277   0.17218   0.00000   0.00000    979      0     979    298   0.09789   0.00000   0.00000    298      0     298    102
AUT  2001    51   0.12464   0.00000   0.00000    2658      0    2658   7342   0.22849   0.00000   0.00000   2761      0    2761   4581   0.36991   0.00000   0.00000   3304      0    3304   1277   0.17360   0.00000   0.00000    979      0     979    298   0.10336   0.00039   0.00039    298      0     298    102
AUT  2001    52   0.12330   0.00000   0.00000    2658      0    2658   7342   0.22940   0.00000   0.00000   2761      0    2761   4581   0.36611   0.00000   0.00000   3304      0    3304   1277   0.17557   0.00000   0.00000    979      0     979    298   0.10563   0.00000   0.00000    298      0     298    102
AUT  2001    53   0.12252   0.00000   0.00000    2658      0    2658   7342   0.23226   0.00000   0.00000   2761      0    2761   4581   0.36146   0.00000   0.00000   3304      0    3304   1277   0.17533   0.00000   0.00000    979      0     979    298   0.10843   0.00000   0.00000    298      0     298    102
AUT  2001    54   0.11985   0.00000   0.00000    2658      0    2658   7342   0.22906   0.00000   0.00000   2761      0    2761   4581   0.35767   0.00000   0.00000   3304      0    3304   1277   0.17697   0.00000   0.00000    979      0     979    298   0.11645   0.00000   0.00000    298      0     298    102
AUT  2001    55+  0.11766   0.00022   0.00022    2658      1    2657   7342   0.22594   0.00000   0.00000   2761      0    2761   4581   0.35528   0.00000   0.00000   3304      0    3304   1277   0.17819   0.00000   0.00000    979      0     979    298   0.12293   0.00000   0.00000    298      0     298    102
BLR  1989    12-  1.00000   0.00000   0.00000   10000      0   10000      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
BLR  1989    13   0.99999   0.00000   0.00000   10000      0   10000      0   0.00001         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
BLR  1989    14   0.99991   0.00006   0.00006   10000      1   10000      0   0.00009   0.01946   0.01927      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
BLR  1989    15   0.99890   0.00073   0.00073    9999      7    9996      1   0.00107   0.01116   0.01110      1      0       4      0   0.00003         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
BLR  1989    16   0.99290   0.00506   0.00505    9992     50    9967      8   0.00641   0.01076   0.01071      8      0      33      0   0.00068   0.00000   0.00000      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
BLR  1989    17   0.97717   0.01828   0.01811    9942    180    9852     58   0.02114   0.03539   0.03477     58      5     147      0   0.00167   0.00000   0.00000      0      0       1      0   0.00001         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
BLR  1989    18   0.93818   0.05559   0.05409    9762    528    9498    238   0.05747   0.05409   0.05267    233     27     491      6   0.00401   0.02476   0.02445      6      0      12      0   0.00034   0.00000   0.00000      0      0       0      0   0.00000         .         .      0      0       0      0
BLR  1989    19   0.85455   0.13509   0.12654    9234   1168    8649    766   0.13285   0.06990   0.06754    734     90    1294     32   0.01176   0.03283   0.03230     32      2      56      0   0.00082   0.03607   0.03543      0      0       1      0   0.00002         .         .      0      0       0      0
BLR  1989    20   0.73468   0.20903   0.18925    8065   1526    7302   1935   0.23553   0.10193   0.09699   1812    254    2488    123   0.02771   0.04532   0.04432    120      9     206      2   0.00180   0.01642   0.01628      2      0       5      0   0.00029   0.00000   0.00000      0      0       0      0
BLR  1989    21   0.59835   0.25615   0.22707    6539   1485    5796   3461   0.33787   0.12501   0.11766   3085    456    3646    376   0.05915   0.04588   0.04485    365     25     538     11   0.00396   0.05161   0.05032     11      1      19      0   0.00068   0.00000   0.00000      0      0       0      0
BLR  1989    22   0.47051   0.27488   0.24166    5054   1221    4443   4946   0.41459   0.14569   0.13580   4114    648    4445    832   0.10533   0.04997   0.04875    796     53    1056     36   0.00843   0.06616   0.06404     35      4      53      1   0.00113   0.05046   0.04922      1      0       2      0
BLR  1989    23   0.37383   0.26939   0.23741    3833    910    3378   6167   0.44781   0.15863   0.14697   4688    761    4798   1480   0.16087   0.05088   0.04962   1391     87    1701     89   0.01571   0.06076   0.05897     84      7     116      5   0.00177   0.12662   0.11908      5      1       7      0
