Tempo-adjusted total fertility rates, Bongaarts-Feeney method
Last modified: 25/09/2014
Code Year    adjTFR
UKR  1990     1.672
UKR  1991     1.651
UKR  1992     1.605
UKR  1993     1.566
UKR  1994     1.473
UKR  1995     1.420
UKR  1996     1.469
UKR  1997     1.465
UKR  1998     1.428
UKR  1999     1.367
UKR  2000     1.396
UKR  2001     1.345
UKR  2002     1.371
UKR  2003     1.465
UKR  2004     1.492
UKR  2005     1.403
UKR  2006     1.469
UKR  2007     1.492
UKR  2008     1.619
