PopName,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
GBR_SCO,01,f,70,5,C,31,03,1901,11,O,37827,.,.,.,1
GBR_SCO,01,f,75,5,C,31,03,1901,11,O,22499,.,.,.,1
GBR_SCO,01,f,80,5,C,31,03,1901,11,O,12618,.,.,.,1
GBR_SCO,01,f,85,5,C,31,03,1901,11,O,4224,.,.,.,1
GBR_SCO,01,f,90,5,C,31,03,1901,11,O,1100,.,.,.,1
GBR_SCO,01,f,95,5,C,31,03,1901,11,O,239,.,.,.,1
GBR_SCO,01,f,100,5,C,31,03,1901,11,O,31,.,.,.,1
GBR_SCO,01,f,105,+,C,31,03,1901,11,O,3,.,.,.,1
GBR_SCO,01,f,UNK,.,C,31,03,1901,11,O,0,.,.,.,1
GBR_SCO,01,f,TOT,.,C,31,03,1901,11,O,2298348,.,.,.,1
GBR_SCO,01,m,0,1,C,02,04,1911,12,O,54669,.,.,.,1
GBR_SCO,01,m,1,1,C,02,04,1911,12,O,51953,.,.,.,1
GBR_SCO,01,m,2,1,C,02,04,1911,12,O,54899,.,.,.,1
GBR_SCO,01,m,3,1,C,02,04,1911,12,O,53836,.,.,.,1
GBR_SCO,01,m,4,1,C,02,04,1911,12,O,52801,.,.,.,1
GBR_SCO,01,m,5,5,C,02,04,1911,12,O,257900,.,.,.,1
GBR_SCO,01,m,10,5,C,02,04,1911,12,O,246763,.,.,.,1
GBR_SCO,01,m,15,5,C,02,04,1911,12,O,233443,.,.,.,1
GBR_SCO,01,m,20,5,C,02,04,1911,12,O,201771,.,.,.,1
GBR_SCO,01,m,25,5,C,02,04,1911,12,O,182022,.,.,.,1
GBR_SCO,01,m,30,5,C,02,04,1911,12,O,170200,.,.,.,1
GBR_SCO,01,m,35,5,C,02,04,1911,12,O,157582,.,.,.,1
GBR_SCO,01,m,40,5,C,02,04,1911,12,O,133141,.,.,.,1
